ID,Layer,Length,Width,Height,Pit,Phase,Coffin,Gender,Age,Agate_bead,Golden_bead,Glass_bead,IndoPacific_bead,Porcelain_vessel,Ceramic_vessel
51,1,105,75,44,P029,pre,1,NA,NA,1,2,NA,5,NA,NA
53,1,100,70,30,P011,euro,1,3,4,NA,1,NA,NA,NA,NA
54,1,122,56,31,P042,pre,1,1,7,NA,NA,NA,NA,NA,NA
58,1,90,56,35,P011,euro,1,NA,2,1,1,NA,NA,NA,NA
59,1,60,35,17,P030,euro,1,NA,2,NA,NA,NA,NA,NA,NA
60,1,55,40,30,P019,euro,1,NA,2,NA,NA,NA,NA,NA,NA
61,1,90,60,63,P020,euro,1,1,5,NA,2,NA,6,NA,NA
65,1,90,65,28,P020,euro,1,3,NA,3,NA,NA,NA,NA,NA
67,1,100,55,46,P012,pre,1,NA,7,NA,NA,NA,NA,NA,NA
68,1,70,45,13,P020,post,NA,NA,1,NA,1,NA,NA,NA,NA
69,1,126,65,20,P020,euro,1,3,5,4,3,NA,NA,NA,NA
70,1,120,60,18,P012,pre,1,3,6,NA,NA,NA,NA,NA,NA
73,1,128,60,32,P074,pre,1,1,7,NA,4,NA,NA,NA,NA
74,1,105,65,47,P074,euro,1,1,7,NA,2,NA,12,NA,NA
75,1,120,70,28,P074,pre,NA,1,7,NA,2,NA,NA,NA,NA
77,1,66,40,15,P077,chi,1,NA,2,NA,NA,NA,NA,NA,NA
78,1,90,60,16,P089,chi,1,NA,2,NA,1,NA,NA,NA,NA
79,1,75,40,9,P087,chi,1,NA,2,NA,NA,NA,NA,NA,NA
80,1,90,45,29,P090,chi,1,NA,2,NA,NA,NA,NA,NA,NA
81,1,140,70,60,P086,euro,1,NA,NA,NA,2,NA,4,NA,NA
84,1,85,65,25,P084,pre,NA,NA,4,4,1,NA,NA,NA,NA
85,1,110,55,36,P083,pre,1,3,4,6,NA,NA,9,NA,NA
86,1,80,50,24,P082,pre,1,NA,NA,6,NA,NA,3,NA,NA
88,1,100,60,24,P013,post,1,NA,3,NA,2,NA,NA,NA,NA
89,1,115,70,30,P013,post,1,1,7,NA,4,NA,NA,NA,NA
90,1,75,45,32,P075,pre,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,1,93,83,22,P014,disturbed,1,NA,NA,NA,NA,NA,NA,NA,NA
95,1,105,60,29,P070,euro,1,NA,NA,17,1,NA,1,NA,NA
96,1,135,60,40,P070,pre,1,4,7,NA,60,NA,999,NA,NA
97,1,90,50,20,P013,pre,1,NA,4,3,NA,NA,NA,NA,NA
100,1,90,50,21,P021,euro,1,NA,2,1,NA,NA,NA,NA,NA
101,1,105,60,24,P021,pre,1,1,5,NA,1,NA,NA,NA,NA
102,1,100,70,30,P021,pre,1,3,4,2,NA,NA,6,NA,NA
103,1,88,85,35,P120,pre,1,NA,4,NA,NA,NA,NA,NA,NA
104,1,100,55,25,P112,pre,1,NA,2,NA,NA,NA,NA,NA,NA
107,1,110,60,20,P008,euro,1,4,7,6,NA,NA,13,NA,NA
108,1,100,53,36,P008,euro,1,2,5,3,NA,NA,1,NA,NA
109,1,115,60,25,P008,euro,1,1,5,NA,1,NA,NA,NA,NA
110,1,85,55,16,P006,euro,1,NA,NA,NA,4,NA,NA,NA,NA
115,1,110,55,20,P144,disturbed,1,NA,NA,NA,NA,NA,1,NA,NA
132,1,155,40,9,P065,disturbed,1,NA,NA,NA,NA,NA,NA,NA,NA
